fsym_id,price_date,adj_price,index_fsym_id,index_price_date,index_adj_price
BK790F-S,2007-09-30,4.51842,LY6WH5-S,2007-09-30,152.58
BK790F-S,2007-10-31,4.74835,LY6WH5-S,2007-10-31,154.65
BK790F-S,2007-11-30,3.51675,LY6WH5-S,2007-11-30,148.66
BK790F-S,2007-12-31,3.87758,LY6WH5-S,2007-12-31,146.21
BK790F-S,2008-01-31,3.30585,LY6WH5-S,2008-01-31,137.37
BK790F-S,2008-02-29,4.14686,LY6WH5-S,2008-02-29,133.82
BK790F-S,2008-03-31,3.73887,LY6WH5-S,2008-03-31,131.97
BK790F-S,2008-04-30,4.65753,LY6WH5-S,2008-04-30,138.26
BK790F-S,2008-05-31,4.30151,LY6WH5-S,2008-05-31,140.35
BK790F-S,2008-06-30,3.95691,LY6WH5-S,2008-06-30,127.98
BK790F-S,2008-07-31,3.88026,LY6WH5-S,2008-07-31,126.83
BK790F-S,2008-08-31,3.72024,LY6WH5-S,2008-08-31,128.79
BK790F-S,2008-09-30,3.21364,LY6WH5-S,2008-09-30,115.99
BK790F-S,2008-10-31,2.52518,LY6WH5-S,2008-10-31,96.83
BK790F-S,2008-11-30,2.35477,LY6WH5-S,2008-11-30,90.09
BK790F-S,2008-12-31,2.35682,LY6WH5-S,2008-12-31,90.24
BK790F-S,2009-01-31,2.24269,LY6WH5-S,2009-01-31,82.83
BK790F-S,2009-02-28,2.18417,LY6WH5-S,2009-02-28,73.93
BK790F-S,2009-03-31,2.44368,LY6WH5-S,2009-03-31,79.52
BK790F-S,2009-04-30,2.6458,LY6WH5-S,2009-04-30,87.42
BK790F-S,2009-05-31,2.94083,LY6WH5-S,2009-05-31,92.53
BK790F-S,2009-06-30,3.41798,LY6WH5-S,2009-06-30,91.95
BK790F-S,2009-07-31,3.24892,LY6WH5-S,2009-07-31,98.81
BK790F-S,2009-08-31,3.38119,LY6WH5-S,2009-08-31,102.46
BK790F-S,2009-09-30,3.7916,LY6WH5-S,2009-09-30,105.59
BK790F-S,2009-10-31,3.94882,LY6WH5-S,2009-10-31,103.56
BK790F-S,2009-11-30,3.96211,LY6WH5-S,2009-11-30,109.94
BK790F-S,2009-12-31,3.87273,LY6WH5-S,2009-12-31,111.44
BK790F-S,2010-01-31,4.24193,LY6WH5-S,2010-01-31,107.39
BK790F-S,2010-02-28,4.1452,LY6WH5-S,2010-02-28,110.74
BK790F-S,2010-03-31,4.02648,LY6WH5-S,2010-03-31,117
BK790F-S,2010-04-30,3.89494,LY6WH5-S,2010-04-30,118.812
BK790F-S,2010-05-31,3.2999,LY6WH5-S,2010-05-31,109.369
BK790F-S,2010-06-30,3.2292,LY6WH5-S,2010-06-30,103.22
BK790F-S,2010-07-31,3.60595,LY6WH5-S,2010-07-31,110.27
BK790F-S,2010-08-31,3.65448,LY6WH5-S,2010-08-31,105.31
BK790F-S,2010-09-30,3.92746,LY6WH5-S,2010-09-30,114.13
BK790F-S,2010-10-31,4.16023,LY6WH5-S,2010-10-31,118.49
BK790F-S,2010-11-30,3.70364,LY6WH5-S,2010-11-30,118.493
BK790F-S,2010-12-31,4.24506,LY6WH5-S,2010-12-31,125.75
BK790F-S,2011-01-31,4.05128,LY6WH5-S,2011-01-31,128.68
BK790F-S,2011-02-28,3.85697,LY6WH5-S,2011-02-28,133.15
BK790F-S,2011-03-31,3.79627,LY6WH5-S,2011-03-31,132.59
BK790F-S,2011-04-30,5.13452,LY6WH5-S,2011-04-30,136.43
BK790F-S,2011-05-31,4.07755,LY6WH5-S,2011-05-31,134.9
BK790F-S,2011-06-30,4.10031,LY6WH5-S,2011-06-30,131.97
BK790F-S,2011-07-31,4.18833,LY6WH5-S,2011-07-31,129.33
BK790F-S,2011-08-31,4.29987,LY6WH5-S,2011-08-31,122.22
BK790F-S,2011-09-30,3.47471,LY6WH5-S,2011-09-30,113.15
BK790F-S,2011-10-31,3.97138,LY6WH5-S,2011-10-31,125.5
BK790F-S,2011-11-30,3.72707,LY6WH5-S,2011-11-30,124.99
BK790F-S,2011-12-31,3.35124,LY6WH5-S,2011-12-31,125.5
BK790F-S,2012-01-31,3.56771,LY6WH5-S,2012-01-31,131.32
BK790F-S,2012-02-29,3.68854,LY6WH5-S,2012-02-29,137.02
BK790F-S,2012-03-31,3.54134,LY6WH5-S,2012-03-31,140.81
BK790F-S,2012-04-30,3.24701,LY6WH5-S,2012-04-30,139.87
BK790F-S,2012-05-31,2.945,LY6WH5-S,2012-05-31,131.47
BK790F-S,2012-06-30,3.19626,LY6WH5-S,2012-06-30,136.105
BK790F-S,2012-07-31,3.15872,LY6WH5-S,2012-07-31,137.71
BK790F-S,2012-08-31,3.10747,LY6WH5-S,2012-08-31,141.16
BK790F-S,2012-09-30,3.14422,LY6WH5-S,2012-09-30,143.97
BK790F-S,2012-10-31,3.32787,LY6WH5-S,2012-10-31,141.35
BK790F-S,2012-11-30,3.53142,LY6WH5-S,2012-11-30,142.155
