fsym_id,date,currency,ff_upd_type,ff_fp_ind_code,ff_report_freq_code,ff_fiscal_date,ff_fy_length_days,ff_fyr,ff_fpnc,ff_sales,ff_oper_exp_tot,ff_oper_inc,ff_ptx_inc,ff_inc_tax,ff_min_int_exp,ff_net_income,ff_div_pfd,ff_cash_st,ff_cash_only,ff_inven,ff_assets_curr,ff_assets_oth_intang,ff_intang,ff_assets,ff_liabs_curr,ff_debt_st,ff_debt_lt,ff_pfd_stk,ff_com_eq,ff_debt,ff_shldrs_eq,ff_chg_cash_cf,ff_bps,ff_com_shs_out,ff_actg_standard,ff_consol_net_inc,ff_eq_tot,ff_exp_tot,ff_min_int_accum,ff_liabs_shldrs_eq,ff_ppe_net,ff_receiv_st,ff_dps,ff_dps_gross,ff_eps_rpt_date,ff_source_is_date,ff_source_bs_date,ff_source_cf_date,ff_restate_ind,ff_loan_chg_cf,ff_dep_chg_cf,ff_dps_all,ff_net_inc_aft_pfd,ff_curn_doc,ff_debt_lt_xcap,ff_eps,ff_eps_xord,ff_oper_exp,ff_oper_inc_bef_dep,ff_pfd_stk_nred,ff_pfd_stk_red,ff_disc_oper,ff_misc_exp_non_oper,ff_int_exp_debt,ff_xord_items,ff_liabs_curr_misc,ff_liabs_oth_xdfd_rev,ff_dep_amort_exp,ff_wkcap_ps,ff_ppe_net_owned,ff_debt_st_xoper,ff_debt_lt_xlease,ff_debt_lt_xoper,ff_assets_tang,ff_dfd_tax_rsrv,ff_restruct_exp
KZ5B9F-R,2006-09-30,NOK,3,3,1,2006-09-30,92,2006,200609,2907,2683,224,114,32,21,61,0,834,763,120,3046,9980,7772,15206,7936,4980,1573,0,2834,6553,2834,-93,34.47227,82.21100600175,23,82,3150,2683,316,15206,2180,2092,0,0,2006-11-02,2006-11-06,2006-11-06,2006-11-06,0,0,0,0,61,NOK,1573,0.7492,0.7413,2683,350,0,0,0,-57,68,0,2956,2547,126,-59.4810869957717,2180,4980,1573,1573,7434,0,0
MVMFXK-R,2008-03-31,DKK,3,1,1,2008-03-31,91,2008,200803,10614,7873,2741,2935,688,0,2180,0,7392,4449,9300,24749,-1608,700,45058,11596,619,929,0,31251,1548,31251,-595,5.04877,6189.8212,23,2180,31251,7873,0,45058,19034,8057,0,0,2008-04-30,2008-05-02,2008-05-02,2008-05-02,0,0,0,0,2180,DKK,929,0.351,0.351,7873,3304,0,0,0,782,368,0,8244,-1121,563,2.12494021636683,19034,619,929,929,44358,0,0
MVMFXK-R,2019-03-31,DKK,3,1,1,2019-03-31,90,2019,201903,29291,15267,14024,13222,2777,0,10445,0,9055,9055,16838,52734,5302,5302,110135,54760,1114,3204,0,47319,4318,47319,-6583,9.88283,4788,23,10445,47319,15267,0,110135,47350,23396,0,0,2019-05-03,2019-05-03,2019-05-03,2019-05-03,0,0,0,0,10445,DKK,3204,2.1849,2.1849,15267,15082,0,0,0,215,1030,0,45497,0,1058,-0.423141186299081,47350,1114,3204,3204,104833,0,0
C6LWM5-R,2020-12-31,NOK,3,4,1,2020-12-31,92,2020,202012,3049,2652.8,396.2,67.7,24.9,27.1,24.6,0,223.4,223.4,6669.8,7918.2,6826.2,6826.2,21998.2,4736.4,1603,4446.7,0,9851.1,6049.7,9851.1,54.154,87.12604,113.067228,23,51.7,10987,2652.8,1135.9,20170.1,6402.8,1024.9,20,20,2021-02-24,2021-04-23,2021-04-23,2021-04-23,0,0,0,20,24.6,NOK,3677.6,0.2176,0.2176,2652.8,630.5,0,0,0,12.7,30.2,0,-4.54747350886464e-13,0,234.3,28.1407801029667,5554,1603,3677.6,4446.7,15172,0,0
C6LWM5-R,2015-03-31,NOK,3,1,1,2015-03-31,90,2015,201503,1615,1220.7,394.3,279.2,77.1,-0.4,218.6,0,86.1,86.1,3143.4,4157.2,2905.8,2905.8,9678.5,1558.5,315.2,1528.4,0,5316.1,1843.6,5316.1,-80.9,47.46518,111.999999,23,218.2,5376.4,1220.7,60.3,9678.5,2046.2,927.7,0,0,2015-05-20,2015-05-20,2015-05-20,2015-05-20,0,0,0,0,218.6,NOK,1528.4,1.95,1.95,1220.7,468,0,0,0,1.3,23.4,0,1243.3,-0.1,73.7,23.2026787785953,2046.2,315.2,1528.4,1528.4,6772.7,0,0
PDBDMJ-R,2013-12-31,NOK,3,4,1,2013-12-31,92,2013,201312,6742.6,5541.3,1201.3,1557.8,457.4,-2.4,1312.8,0,579.2,579.2,11318.5,16086,9802.2,8610,33600.8,5319.7,666.1,7710.2,0,16344,8376.3,16344,-263.5,39.8307,410.3367883,23,1216.8,16371.9,5541.3,27.9,33600.8,6677.2,4188.3,1.2,1.2,2014-02-05,2014-04-30,2014-04-30,2014-04-30,0,0,0,1.95,1312.8,NOK,7710.2,3.4,3.4,5541.3,1436.2,0,0,93.6,-118.5,162.9,0,2168.4,869.5,234.9,26.2377157178719,6677.2,666.1,7710.2,7710.2,24990.8,0,34.4
PDBDMJ-R,2015-12-31,NOK,3,4,1,2015-12-31,92,2015,201512,8060.2,7259.9,800.3,1262.1,530.7,0.3,829.6,0,968.8,688.7,13604.1,19759.4,9951.2,9913.4,40260.1,5909,1.5,12289.8,0,18178.3,12291.3,18178.3,-22.5,40.38853,450.085652,23,830,18187.2,7259.9,8.9,40260.1,9246.4,4760.1,1.4,1.4,2016-02-17,2016-04-01,2016-04-01,2016-04-01,0,0,0,1.4,829.6,NOK,12279.3,1.84,1.84,7259.9,1125.7,0,0,-0.1,26,104.8,0,2550.5,29.4,325.4,30.7728094385022,9246.4,1.5,12279.3,12289.8,30346.7,0,0.1
C6LWM5-R,2015-09-30,NOK,3,3,1,2015-09-30,92,2015,201509,1876.6,1547.3,329.3,450.1,118.1,9.1,327.1,0,96.3,96.3,3581.7,4804.2,2929.7,2929.7,10515.2,1952.4,333.4,2452.6,0,4751.7,2786,4751.7,-12.6,42.42589,111.999999,23,336.2,4829.2,1547.3,77.5,10515.2,2210.3,1126.2,0,0,2015-11-12,2015-11-12,2015-11-12,2015-11-12,0,0,0,0,327.1,NOK,2452.6,2.92,2.92,1547.3,405.1,0,0,0,0,24.8,0,1619,0,75.8,25.4625002273437,2210.3,333.4,2452.6,2452.6,7585.5,0,0
KZ5B9F-R,2017-06-30,NOK,3,2,1,2017-06-30,91,2017,201706,4327,3806,521,1746,352,10,1373,0,495,495,0,3553,16898,16456,25974,5958,626,5510,0,11638,6136,11638,-257,51.31221,226.8076,23,1383,11895,3806,257,25974,1004,0,0,0,2017-07-18,2017-07-18,2017-07-18,2017-07-18,0,0,0,0,1373,NOK,5510,6.07,6.07,3806,677,0,0,0,773,22,0,5332,2611,156,-10.6037011105448,1004,626,5510,5510,9518,0,16
MVMFXK-R,2009-12-31,DKK,3,4,1,2009-12-31,92,2009,200912,13062,9985,3077,2994,669,0,2323,0,12826,11296,10016,32666,0,1037,53287,13415,418,970,0,35734,1388,35734,872,0,0,23,2323,35734,9985,0,53287,19226,9133,0.75,0.75,2010-02-02,2010-03-10,2010-03-10,2010-03-10,0,0,0,0.75,2323,DKK,970,0.395,0.395,9985,3831,0,0,0,175,258,0,9792,158,754,0,19226,418,970,970,52250,0,0
